# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 13.0
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-03-2024
## Columns:
## (1) tuId. Transcription Unit identifier assigned by RegulonDB
## (2) tuName. Transcription unit name 
## (3) operonId. Operon id containing the transcription uni 
## (4) operonName. Operon name containing the transcription unit
## (5) tuGenesIds. Ids of the gene(s) contained in the transcription unit
## (6) tuGenesNames. Names of the gene(s) contained in the transcription unit
## (7) promoterId. Promoter Id
## (8) promoterName. Promoter Name
## (9) sigmaFactor. Sigma Factor associated to 
##(10) tfsIds. transcription Factors ids that regulates the transcription Unit
##(11) tfsNames. transcription Factors names that regulates the transcription Unit
##
1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenesIds	6)tuGenesNames	7)promoterId	8)promoterName	9)sigmaFactor	10)tfsIds	11)tfsNames 
RDBECOLITUC00095	yabPQ	RDBECOLIOPC00717	yabPQ	RDBECOLIGNC02328,RDBECOLIGNC02327	yabQ;yabP;					 
RDBECOLITUC00096	yabI	RDBECOLIOPC02514	yabI	RDBECOLIGNC01522	yabI;	RDBECOLIPMC03274	yabIp	sigma38		 
RDBECOLITUC00097	sgrR-sroA-thiBPQ	RDBECOLIOPC02561	sgrR-sroA-thiBPQ	RDBECOLIGNC01995,RDBECOLIGNC02919,RDBECOLIGNC01525,RDBECOLIGNC01524,RDBECOLIGNC01523	sgrR;sroA;thiB;thiP;thiQ;	RDBECOLIPMC03083	sgrRp	sigma70	RDBECOLITFC00039,RDBECOLITFC00107	DksA,SgrR 
RDBECOLITUC00098	sgrST-setA	RDBECOLIOPC01347	sgrST-setA	RDBECOLIGNC02674,RDBECOLIGNC01690,RDBECOLIGNC02945	sgrT;setA;sgrS;	RDBECOLIPMC03082	sgrSp	sigma70	RDBECOLITFC00057,RDBECOLITFC00107	Cra,SgrR 
RDBECOLITUC00099	leuO	RDBECOLIOPC03387	leuO	RDBECOLIGNC00523	leuO;	RDBECOLIPMC03265	leuOp	sigma70	RDBECOLITFC00136,RDBECOLITFC00136,RDBECOLITFC00190,RDBECOLITFC00212,RDBECOLITFC00020	SlyA,SlyA,LrhA,LeuO,H-NS 
RDBECOLITUC00100	cra	RDBECOLIOPC01049	cra	RDBECOLIGNC00332	cra;	RDBECOLIPMC00632	fruRp8	sigma32	RDBECOLITFC00202	PhoB 
RDBECOLITUC00101	lpxC	RDBECOLIOPC03553	mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	RDBECOLIGNC00259	lpxC;	RDBECOLIPMC03259	lpxCp1	sigma70		 
RDBECOLITUC00102	coaE-zapD-yacG	RDBECOLIOPC02684	coaE-zapD-yacG	RDBECOLIGNC02184,RDBECOLIGNC02185,RDBECOLIGNC02186	coaE;zapD;yacG;					 
RDBECOLITUC00103	ppdD-hofBC	RDBECOLIOPC02432	ppdD-hofBC	RDBECOLIGNC02007,RDBECOLIGNC02006,RDBECOLIGNC01729	ppdD;hofB;hofC;	RDBECOLIPMC00282	ppdDp	sigma70	RDBECOLITFC00189	CRP 
RDBECOLITUC00104	nadC	RDBECOLIOPC01370	nadC	RDBECOLIGNC01499	nadC;	RDBECOLIPMC00530	nadCp		RDBECOLITFC00189	CRP 
RDBECOLITUC00105	yacL	RDBECOLIOPC00475	yacL	RDBECOLIGNC02323	yacL;	RDBECOLIPMC03277	yacLp			 
RDBECOLITUC00106	yadGH	RDBECOLIOPC02012	yadGH	RDBECOLIGNC02192,RDBECOLIGNC02191	yadH;yadG;					 
RDBECOLITUC00107	yadI	RDBECOLIOPC00999	yadI	RDBECOLIGNC02193	yadI;					 
RDBECOLITUC00108	yadE	RDBECOLIOPC00206	yadE	RDBECOLIGNC01685	yadE;					 
RDBECOLITUC00109	yadC	RDBECOLIOPC01654	yadMLKC	RDBECOLIGNC01619	yadC;	RDBECOLIPMC03193	yadCp			 
RDBECOLITUC00110	hrpB	RDBECOLIOPC00704	hrpB	RDBECOLIGNC02199	hrpB;					 
RDBECOLITUC00111	uof-fur	RDBECOLIOPC02926	fldA-uof-fur	RDBECOLIGNC02643,RDBECOLIGNC00352	uof;fur;	RDBECOLIPMC00410	uofp		RDBECOLITFC00216,RDBECOLITFC00201,RDBECOLITFC00216	OxyR,SoxS,OxyR 
RDBECOLITUC00112	mrcB	RDBECOLIOPC01312	mrcB	RDBECOLIGNC00597	mrcB;	RDBECOLIPMC03278	mrcBp			 
RDBECOLITUC00113	clcA	RDBECOLIOPC00426	clcA	RDBECOLIGNC02201	clcA;					 
RDBECOLITUC00114	mnt-btuF-yadS	RDBECOLIOPC02061	mnt-btuF-yadS	RDBECOLIGNC01077,RDBECOLIGNC02204,RDBECOLIGNC02203	mtn;btuF;yadS;	RDBECOLIPMC03055	mtnp	sigma70		 
RDBECOLITUC00115	dgt	RDBECOLIOPC01042	dgt	RDBECOLIGNC00219	dgt;	RDBECOLIPMC03056	dgtp1			 
RDBECOLITUC00116	yaeH	RDBECOLIOPC00156	yaeH	RDBECOLIGNC02206	yaeH;					 
RDBECOLITUC00117	yaeI	RDBECOLIOPC01703	yaeI	RDBECOLIGNC02207	yaeI;					 
RDBECOLITUC00118	map-glnD-dapD	RDBECOLIOPC03335	map-glnD-dapD	RDBECOLIGNC00562,RDBECOLIGNC01376,RDBECOLIGNC00201	map;glnD;dapD;				RDBECOLITFC00074,RDBECOLITFC00051,RDBECOLITFC00201	MarA,Rob,SoxS 
RDBECOLITUC00119	fldA-uof-fur	RDBECOLIOPC02926	fldA-uof-fur	RDBECOLIGNC02643,RDBECOLIGNC00352,RDBECOLIGNC00312	uof;fur;fldA;	RDBECOLIPMC00411	fldAp		RDBECOLITFC00201	SoxS 
RDBECOLITUC00120	dxr-uppS-cdsA	RDBECOLIOPC02832	dxr-uppS-cdsA	RDBECOLIGNC00135,RDBECOLIGNC02988,RDBECOLIGNC02366	cdsA;ispU;dxr;					 
RDBECOLITUC00121	yaeR	RDBECOLIOPC00465	yaeR	RDBECOLIGNC02991	yaeR;					 
RDBECOLITUC00122	tilS	RDBECOLIOPC01998	tilS	RDBECOLIGNC02992	tilS;					 
RDBECOLITUC00123	yaeP-rof	RDBECOLIOPC00985	yaeP-rof	RDBECOLIGNC02969,RDBECOLIGNC02993	yaeP;rof;	RDBECOLIPMC00533	yaePp		RDBECOLITFC00189	CRP 
RDBECOLITUC00124	yaeQ-arfB-nlpE	RDBECOLIOPC00194	yaeQ-arfB-nlpE	RDBECOLIGNC02033,RDBECOLIGNC02218,RDBECOLIGNC02994	nlpE;arfB;yaeQ;	RDBECOLIPMC00534	yaeQp		RDBECOLITFC00189	CRP 
RDBECOLITUC00125	yaeF	RDBECOLIOPC01638	yaeF	RDBECOLIGNC02034	yaeF;				RDBECOLITFC00135	Nac 
RDBECOLITUC00126	rcsF-trmO	RDBECOLIOPC00692	rcsF-trmO	RDBECOLIGNC01457,RDBECOLIGNC01458	rcsF;trmO;					 
RDBECOLITUC00127	gmhB	RDBECOLIOPC02475	gmhB	RDBECOLIGNC01673	gmhB;	RDBECOLIPMC03282	gmhBp			 
RDBECOLITUC00128	dkgB	RDBECOLIOPC01296	dkgB	RDBECOLIGNC01590	dkgB;	RDBECOLIPMC00314	dkgBp	sigma38	RDBECOLITFC00038,RDBECOLITFC00038	NsrR,NsrR 
RDBECOLITUC00129	fur	RDBECOLIOPC02926	fldA-uof-fur	RDBECOLIGNC00352	fur;	RDBECOLIPMC03573	furpb	sigma70	RDBECOLITFC00189,RDBECOLITFC00093,RDBECOLITFC00093	CRP,Fur,Fur 
RDBECOLITUC00130	yafDE	RDBECOLIOPC00415	yafDE	RDBECOLIGNC01593,RDBECOLIGNC01592	yafE;yafD;	RDBECOLIPMC03158	yafDp	sigma32		 
RDBECOLITUC00131	mltD	RDBECOLIOPC02043	mltD	RDBECOLIGNC00240	mltD;				RDBECOLITFC00135	Nac 
RDBECOLITUC00132	gloB	RDBECOLIOPC01030	gloB	RDBECOLIGNC02995	gloB;					 
RDBECOLITUC00133	dnaQ	RDBECOLIOPC03120	dnaQ	RDBECOLIGNC00237	dnaQ;					 
RDBECOLITUC00134	yafT	RDBECOLIOPC01688	yafT	RDBECOLIGNC02997	yafT;					 
RDBECOLITUC00135	gmhA	RDBECOLIOPC00736	gmhA	RDBECOLIGNC03002	gmhA;					 
RDBECOLITUC00136	yafJ	RDBECOLIOPC02394	yafJ	RDBECOLIGNC03003	yafJ;					 
RDBECOLITUC00137	ldtF	RDBECOLIOPC01343	ldtF	RDBECOLIGNC03004	dpaA;				RDBECOLITFC00135	Nac 
RDBECOLITUC00138	dinJ-yafQ	RDBECOLIOPC00456	dinJ-yafQ	RDBECOLIGNC03006,RDBECOLIGNC03005	dinJ;yafQ;	RDBECOLIPMC00272	dinJp	sigma70	RDBECOLITFC00234,RDBECOLITFC00214,RDBECOLITFC00151	SrsR,LexA,DinJ-YafQ 
RDBECOLITUC00139	yafL	RDBECOLIOPC01983	yafL	RDBECOLIGNC03007	yafL;					 
RDBECOLITUC00140	rayT	RDBECOLIOPC00975	rayT	RDBECOLIGNC03008	rayT;					 
RDBECOLITUC00141	lafU	RDBECOLIOPC00182	lafU	RDBECOLIGNC03010	lafU;					 
RDBECOLITUC00142	dinB-yafNOP	RDBECOLIOPC02691	dinB-yafNOP	RDBECOLIGNC03014,RDBECOLIGNC03013,RDBECOLIGNC03012,RDBECOLIGNC03011	yafP;yafO;yafN;dinB;	RDBECOLIPMC00296	dinBp	sigma70	RDBECOLITFC00214	LexA 
RDBECOLITUC00143	yafNOP	RDBECOLIOPC02691	dinB-yafNOP	RDBECOLIGNC03014,RDBECOLIGNC03013,RDBECOLIGNC03012	yafP;yafO;yafN;	RDBECOLIPMC03207	yafNp	sigma70	RDBECOLITFC00214	LexA 
RDBECOLITUC00144	ykfJ-prfH	RDBECOLIOPC02459	ykfJ-prfH	RDBECOLIGNC01451,RDBECOLIGNC03015	prfH;ykfJ;					 
RDBECOLITUC00145	frsA	RDBECOLIOPC01283	frsA	RDBECOLIGNC01078	frsA;	RDBECOLIPMC00219	frsAp	sigma70		 
RDBECOLITUC00146	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	RDBECOLIOPC02854	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	RDBECOLIGNC03022,RDBECOLIGNC03021,RDBECOLIGNC03020,RDBECOLIGNC03019,RDBECOLIGNC03018,RDBECOLIGNC02572,RDBECOLIGNC03017,RDBECOLIGNC03016	yafY;ykfB;ykfF;yafX;ykfG;ykfH;yafW;ykfI;					 
RDBECOLITUC00147	ykfA-yafZ	RDBECOLIOPC03117	ykfA-yafZ	RDBECOLIGNC03024,RDBECOLIGNC03023	ykfA;yafZ;					 
RDBECOLITUC00148	perR	RDBECOLIOPC01018	perR	RDBECOLIGNC03025	perR;					 
RDBECOLITUC00149	None	RDBECOLIOPC00135	insNI1	RDBECOLIGNC03027,RDBECOLIGNC03026	insI1;insN;	RDBECOLIPMC02410	insN-1p	sigma38		 
RDBECOLITUC00150	ykfC	RDBECOLIOPC01672	ykfC	RDBECOLIGNC03028	ykfC;					 
RDBECOLITUC00151	mmuPM	RDBECOLIOPC00726	mmuPM	RDBECOLIGNC03031,RDBECOLIGNC03030	mmuM;mmuP;					 
RDBECOLITUC00152	insA2B2AB2-afuBC	RDBECOLIOPC02380	insA2B2AB2-afuBC	RDBECOLIGNC03034,RDBECOLIGNC03033,RDBECOLIGNC02623,RDBECOLIGNC03032,RDBECOLIGNC02210	insA2;insB2;insAB2;afuB;afuC;					 
RDBECOLITUC00153	yagAB-insX	RDBECOLIOPC01332	yagAB-insX	RDBECOLIGNC02208,RDBECOLIGNC02209,RDBECOLIGNC02573	yagA;yagB;insX;				RDBECOLITFC00203	XynR 
RDBECOLITUC00154	yagEF	RDBECOLIOPC00446	yagEF	RDBECOLIGNC03036,RDBECOLIGNC03035	yagF;yagE;				RDBECOLITFC00203	XynR 
RDBECOLITUC00155	yagGH	RDBECOLIOPC01970	yagGH	RDBECOLIGNC03038,RDBECOLIGNC03037	yagH;yagG;					 
RDBECOLITUC00156	xynR	RDBECOLIOPC03405	argF-xynR	RDBECOLIGNC03039	xynR;					 
RDBECOLITUC00157	insA3B3AB3	RDBECOLIOPC00171	insA3B3AB3	RDBECOLIGNC03041,RDBECOLIGNC03040,RDBECOLIGNC02624	insA3;insB3;insAB3;					 
RDBECOLITUC00158	yagK	RDBECOLIOPC01612	yagK	RDBECOLIGNC03043	yagK;	RDBECOLIPMC00699	yagKp6	sigma70	RDBECOLITFC00048	RcdA 
RDBECOLITUC00159	yagML	RDBECOLIOPC00675	yagML	RDBECOLIGNC03045,RDBECOLIGNC03044	yagM;yagL;					 
RDBECOLITUC00160	yagN	RDBECOLIOPC02443	yagN	RDBECOLIGNC03046	yagN;					 
RDBECOLITUC00161	intF	RDBECOLIOPC01273	intF	RDBECOLIGNC03047	intF;					 
RDBECOLITUC00162	yagP	RDBECOLIOPC00395	yagP	RDBECOLIGNC03048	yagP;					 
RDBECOLITUC00163	paoABCD	RDBECOLIOPC02013	paoABCD	RDBECOLIGNC03052,RDBECOLIGNC03051,RDBECOLIGNC03050,RDBECOLIGNC03049	paoA;paoB;paoC;paoD;					 
RDBECOLITUC00164	ykgJ	RDBECOLIOPC01005	ykgJ	RDBECOLIGNC03054	ykgJ;					 
RDBECOLITUC00165	ecpBCDE	RDBECOLIOPC03331	ecpBCDE	RDBECOLIGNC03058,RDBECOLIGNC03057,RDBECOLIGNC03056,RDBECOLIGNC03055	ecpB;ecpC;ecpD;ecpE;	RDBECOLIPMC03285	ecpBp1			 
RDBECOLITUC00166	ecpA	RDBECOLIOPC01661	ecpA	RDBECOLIGNC03059	ecpA;	RDBECOLIPMC00707	ecpAp	sigma70	RDBECOLITFC00115	MatA 
RDBECOLITUC00167	ecpR	RDBECOLIOPC00714	ecpR	RDBECOLIGNC03060	matA;	RDBECOLIPMC00708	ecpRp	sigma24	RDBECOLITFC00115	MatA 
RDBECOLITUC00168	ykgMO	RDBECOLIOPC02365	ykgMO	RDBECOLIGNC03062,RDBECOLIGNC02574	ykgM;ykgO;	RDBECOLIPMC03270	ykgMp	sigma70	RDBECOLITFC00035	Zur 
RDBECOLITUC00169	eaeH-insE1EF1F1	RDBECOLIOPC01320	eaeH-insE1EF1F1	RDBECOLIGNC03064,RDBECOLIGNC03063,RDBECOLIGNC02616,RDBECOLIGNC02052	insF1;insE1;insEF1;eaeH;					 
RDBECOLITUC00170	ykgA	RDBECOLIOPC00435	ykgA	RDBECOLIGNC03065	ykgA;					 
RDBECOLITUC00171	rclBC	RDBECOLIOPC01955	rclABC	RDBECOLIGNC03067,RDBECOLIGNC03066	rclB;rclC;					 
RDBECOLITUC00172	rclABC	RDBECOLIOPC01955	rclABC	RDBECOLIGNC03066,RDBECOLIGNC03067,RDBECOLIGNC03068	rclC;rclB;rclA;	RDBECOLIPMC00719	rclAp	sigma24	RDBECOLITFC00193	RclR 
RDBECOLITUC00173	rclR	RDBECOLIOPC00163	rclR	RDBECOLIGNC03069	rclR;					 
RDBECOLITUC00174	ykgEFG	RDBECOLIOPC01598	ykgEFG	RDBECOLIGNC03072,RDBECOLIGNC03071,RDBECOLIGNC03070	ykgG;ykgF;ykgE;					 
RDBECOLITUC00175	ykgH	RDBECOLIOPC00663	ykgH	RDBECOLIGNC03074	ykgH;					 
RDBECOLITUC00176	pdeL	RDBECOLIOPC02425	pdeL	RDBECOLIGNC01213	pdeL;	RDBECOLIPMC03070	pdeLp1	sigma70	RDBECOLITFC00057,RDBECOLITFC00057	Cra,Cra 
RDBECOLITUC00177	yahB	RDBECOLIOPC01261	yahB	RDBECOLIGNC03075	yahB;					 
RDBECOLITUC00178	yahC	RDBECOLIOPC00385	yahC	RDBECOLIGNC03076	yahC;					 
RDBECOLITUC00179	yahDEFG	RDBECOLIOPC02002	yahDEFG	RDBECOLIGNC03080,RDBECOLIGNC03079,RDBECOLIGNC03078,RDBECOLIGNC03077	yahG;yahF;yahE;yahD;					 
RDBECOLITUC00180	yahH	RDBECOLIOPC00995	yahH	RDBECOLIGNC02633	yahH;					 
RDBECOLITUC00181	yahIJ	RDBECOLIOPC00116	yahIJ	RDBECOLIGNC03082,RDBECOLIGNC03081	yahJ;yahI;					 
RDBECOLITUC00182	yahK	RDBECOLIOPC01646	yahK	RDBECOLIGNC03083	yahK;					 
RDBECOLITUC00183	yahL	RDBECOLIOPC00702	yahL	RDBECOLIGNC03084	yahL;					 
RDBECOLITUC00184	yahM	RDBECOLIOPC02347	yahM	RDBECOLIGNC03085	yahM;					 
RDBECOLITUC00185	mhpT	RDBECOLIOPC01304	mhpT	RDBECOLIGNC03095	mhpT;	RDBECOLIPMC00313	mhpTp	sigma32	RDBECOLITFC00038	NsrR 
RDBECOLITUC00186	yaiL	RDBECOLIOPC00424	yaiL	RDBECOLIGNC03096	yaiL;					 
RDBECOLITUC00187	frmRAB	RDBECOLIOPC01940	frmRAB	RDBECOLIGNC03098,RDBECOLIGNC02564,RDBECOLIGNC03097	frmR;frmA;frmB;				RDBECOLITFC00086	FrmR 
RDBECOLITUC00188	yaiO	RDBECOLIOPC00944	yaiO	RDBECOLIGNC03099	yaiO;					 
RDBECOLITUC00189	insC1CD1D1	RDBECOLIOPC00153	insC1CD1D1	RDBECOLIGNC03101,RDBECOLIGNC03100,RDBECOLIGNC02627	insD1;insC1;insCD1;					 
RDBECOLITUC00190	yaiX	RDBECOLIOPC01584	yaiX	RDBECOLIGNC03102	yaiX;					 
RDBECOLITUC00191	yaiP	RDBECOLIOPC00651	yaiP	RDBECOLIGNC03103	yaiP;					 
RDBECOLITUC00192	hemB	RDBECOLIOPC02407	hemB	RDBECOLIGNC00421	hemB;	RDBECOLIPMC02539	hemBp	sigma70		 
RDBECOLITUC00193	insE2F2EF2	RDBECOLIOPC01250	insE2F2EF2	RDBECOLIGNC03111,RDBECOLIGNC03110,RDBECOLIGNC02618	insE2;insF2;insEF2;					 
RDBECOLITUC00194	iprA	RDBECOLIOPC00374	iprA	RDBECOLIGNC03112	iprA;					 
RDBECOLITUC00195	iraP	RDBECOLIOPC01988	iraP	RDBECOLIGNC01230	iraP;	RDBECOLIPMC03047	iraPp1	sigma70	RDBECOLITFC00039,RDBECOLITFC00018	DksA,CsgD 
RDBECOLITUC00196	yaiI	RDBECOLIOPC00980	yaiI	RDBECOLIGNC03116	yaiI;					 
RDBECOLITUC00197	ppnP	RDBECOLIOPC00102	ppnP	RDBECOLIGNC02051	ppnP;	RDBECOLIPMC03292	ppnPp			 
RDBECOLITUC00198	ykiA	RDBECOLIOPC01631	ykiA	RDBECOLIGNC03117	ykiA;	RDBECOLIPMC02478	ykiAp		RDBECOLITFC00095	RcsB-BglJ 
RDBECOLITUC00199	sbcDC	RDBECOLIOPC00691	sbcDC	RDBECOLIGNC01081,RDBECOLIGNC00915	sbcD;sbcC;	RDBECOLIPMC03110	sbcDp	sigma70	RDBECOLITFC00202	PhoB 
RDBECOLITUC00200	brnQ-proY	RDBECOLIOPC02329	brnQ-proY	RDBECOLIGNC03118,RDBECOLIGNC02059	proY;brnQ;	RDBECOLIPMC03293	brnQp			 
RDBECOLITUC00201	yajD	RDBECOLIOPC01289	yajD	RDBECOLIGNC01084	yajD;				RDBECOLITFC00135	Nac 
RDBECOLITUC00202	yajI	RDBECOLIOPC00414	yajI	RDBECOLIGNC02408	yajI;					 
RDBECOLITUC00203	nrdR-ribDE-nusB-thiL-pgpA	RDBECOLIOPC02538	nrdR-ribDE-nusB-thiL-pgpA	RDBECOLIGNC00695,RDBECOLIGNC03119,RDBECOLIGNC00658,RDBECOLIGNC01292,RDBECOLIGNC01291,RDBECOLIGNC01290	pgpA;thiL;nusB;ribE;ribD;nrdR;	RDBECOLIPMC03109	nrdRp	sigma70		 
RDBECOLITUC00204	panE-yajL	RDBECOLIOPC00933	panE-yajL	RDBECOLIGNC03123,RDBECOLIGNC02950	panE;yajL;					 
RDBECOLITUC00205	yajR	RDBECOLIOPC00143	yajR	RDBECOLIGNC03125	yajR;	RDBECOLIPMC03295	yajRp			 
RDBECOLITUC00206	ampG	RDBECOLIOPC03221	yajG-ampG	RDBECOLIGNC02071	ampG;					 
RDBECOLITUC00207	yajG	RDBECOLIOPC03221	yajG-ampG	RDBECOLIGNC02070	yajG;	RDBECOLIPMC02522	yajGp	sigma70		 
RDBECOLITUC00208	tig	RDBECOLIOPC03222	tig	RDBECOLIGNC00991	tig;	RDBECOLIPMC03296	tigp1			 
RDBECOLITUC00209	ybaV	RDBECOLIOPC01234	ybaV	RDBECOLIGNC03127	ybaV;					 
RDBECOLITUC00210	fadM	RDBECOLIOPC00363	fadM	RDBECOLIGNC03128	fadM;	RDBECOLIPMC00767	fadMp1	sigma24	RDBECOLITFC00126	FadR 
RDBECOLITUC00211	queC	RDBECOLIOPC01973	queC	RDBECOLIGNC03129	queC;					 
RDBECOLITUC00212	ybaE	RDBECOLIOPC00971	ybaE	RDBECOLIGNC02426	ybaE;					 
RDBECOLITUC00213	cof	RDBECOLIOPC00092	cof	RDBECOLIGNC03130	cof;					 
RDBECOLITUC00214	decR	RDBECOLIOPC01618	decR	RDBECOLIGNC03131	decR;	RDBECOLIPMC00226	decRp	sigma70	RDBECOLITFC00201,RDBECOLITFC00074	SoxS,MarA 
RDBECOLITUC00215	mdlAB	RDBECOLIOPC00681	mdlAB	RDBECOLIGNC01568,RDBECOLIGNC03132	mdlB;mdlA;					 
RDBECOLITUC00216	ffs	RDBECOLIOPC02309	ffs	RDBECOLIGNC02464	ffs;					 
RDBECOLITUC00217	ybaA	RDBECOLIOPC01275	ybaA	RDBECOLIGNC01086	ybaA;					 
RDBECOLITUC00218	pdeB	RDBECOLIOPC00402	pdeB	RDBECOLIGNC03135	pdeB;					 
RDBECOLITUC00219	ylaC	RDBECOLIOPC01909	ylaC	RDBECOLIGNC03136	ylaC;	RDBECOLIPMC03299	ylaCp			 
RDBECOLITUC00220	maa	RDBECOLIOPC00923	maa	RDBECOLIGNC02975	maa;					 
RDBECOLITUC00221	tomB-hha	RDBECOLIOPC00131	tomB-hha	RDBECOLIGNC02280,RDBECOLIGNC00432	tomB;hha;	RDBECOLIPMC03024	tomBp	sigma70	RDBECOLITFC00196,RDBECOLITFC00170,RDBECOLITFC00158	BasR,CpxR,PdhR 
RDBECOLITUC00222	mscK	RDBECOLIOPC01550	mscK	RDBECOLIGNC03137	mscK;	RDBECOLIPMC03301	mscKp			 
RDBECOLITUC00223	priC-ybaM	RDBECOLIOPC00628	priC-ybaM	RDBECOLIGNC00755,RDBECOLIGNC02385	priC;ybaM;					 
RDBECOLITUC00224	ybaN	RDBECOLIOPC02369	ybaN	RDBECOLIGNC02391	ybaN;				RDBECOLITFC00080	GlaR 
RDBECOLITUC00225	apt	RDBECOLIOPC01221	apt	RDBECOLIGNC00047	apt;	RDBECOLIPMC03094	aptp	sigma70		 
RDBECOLITUC00226	dnaX	RDBECOLIOPC00352	dnaX	RDBECOLIGNC00239	dnaX;	RDBECOLIPMC03048	dnaXp			 
RDBECOLITUC00227	hemH	RDBECOLIOPC01956	hemH	RDBECOLIGNC00424	hemH;	RDBECOLIPMC03012	hemHp	sigma70	RDBECOLITFC00216,RDBECOLITFC00216	OxyR,OxyR 
RDBECOLITUC00228	ybaL	RDBECOLIOPC00959	ybaL	RDBECOLIGNC02330	ybaL;	RDBECOLIPMC03302	ybaLp			 
RDBECOLITUC00229	fsr	RDBECOLIOPC00082	fsr	RDBECOLIGNC03138	fsr;					 
RDBECOLITUC00230	cueR	RDBECOLIOPC01602	cueR	RDBECOLIGNC03144	cueR;					 
RDBECOLITUC00231	qmcA-ybbJ	RDBECOLIOPC00668	qmcA-ybbJ	RDBECOLIGNC03146,RDBECOLIGNC03145	qmcA;ybbJ;	RDBECOLIPMC00537	qmcAp			 
